 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,048"
07:00;"0,140"
07:15;"0,568"
07:30;"1,468"
07:45;"1,840"
08:00;"2,348"
08:15;"2,660"
08:30;"3,120"
08:45;"3,372"
09:00;"3,576"
09:15;"3,764"
09:30;"3,964"
09:45;"4,084"
10:00;"4,216"
10:15;"3,648"
10:30;"3,636"
10:45;"3,740"
11:00;"4,380"
11:15;"3,964"
11:30;"4,268"
11:45;"4,168"
12:00;"4,204"
12:15;"4,048"
12:30;"3,624"
12:45;"3,472"
13:00;"3,596"
13:15;"3,108"
13:30;"3,380"
13:45;"3,224"
14:00;"3,020"
14:15;"2,480"
14:30;"2,588"
14:45;"1,940"
15:00;"1,892"
15:15;"1,812"
15:30;"1,696"
15:45;"1,408"
16:00;"0,860"
16:15;"0,928"
16:30;"0,608"
16:45;"0,848"
17:00;"1,028"
17:15;"1,036"
17:30;"0,804"
17:45;"0,684"
18:00;"0,476"
18:15;"0,464"
18:30;"0,376"
18:45;"0,240"
19:00;"0,184"
19:15;"0,108"
19:30;"0,044"
19:45;"0,116"
20:00;"0,072"
20:15;"0,028"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
